epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,838.208,0.66753,0.43653,0.92006,0.97677,0.95062,0.98447,0.86956,0.65004,0.32111,0.89964,0.000792844,0.000792844,0.000792844
76,849.302,0.68543,0.4215,0.92836,0.97628,0.94993,0.98452,0.85591,0.70928,0.34645,0.90562,0.000736501,0.000736501,0.000736501
77,860.305,0.6491,0.41995,0.92372,0.97711,0.98611,0.9897,0.84734,0.74119,0.31069,0.91304,0.000681901,0.000681901,0.000681901
78,871.517,0.67137,0.4213,0.92245,0.98575,0.98611,0.99011,0.86757,0.65597,0.28972,0.89571,0.000629098,0.000629098,0.000629098
79,882.646,0.69316,0.41177,0.94514,0.98367,0.98611,0.99004,0.85885,0.67827,0.29357,0.89707,0.000578143,0.000578143,0.000578143
80,893.939,0.66819,0.41895,0.92279,0.98276,0.98611,0.98976,0.88392,0.60886,0.27421,0.88673,0.000529088,0.000529088,0.000529088
81,904.972,0.67028,0.41152,0.92829,0.98248,0.98611,0.99011,0.86703,0.67035,0.28245,0.89787,0.00048198,0.00048198,0.00048198
82,916.016,0.63601,0.38275,0.9145,0.9812,0.98611,0.98983,0.86231,0.69781,0.28101,0.89978,0.000436866,0.000436866,0.000436866
83,927.067,0.64804,0.41352,0.90524,0.98445,0.98611,0.99011,0.8447,0.74753,0.29753,0.90568,0.000393791,0.000393791,0.000393791
84,938.223,0.62635,0.39125,0.89018,0.98418,0.98611,0.99018,0.86662,0.6768,0.27568,0.89011,0.000352797,0.000352797,0.000352797
85,949.383,0.64624,0.39341,0.90122,0.98183,0.98611,0.99004,0.87071,0.65722,0.2747,0.89098,0.000313924,0.000313924,0.000313924
86,965.077,0.45708,0.25938,0.86916,0.98438,0.98611,0.99011,0.87471,0.63991,0.27306,0.88377,0.000277211,0.000277211,0.000277211
87,976.272,0.44894,0.27382,0.84408,0.98576,0.98611,0.99011,0.88229,0.61234,0.26744,0.87785,0.000242694,0.000242694,0.000242694
